name,address,telephone
SUMAYA-MED PRIVATE CLINIC,"Uzbekistan, Tashkent, Uchtepa district, street YUSUF SAKKOKIY, 3",+998 97 1080777
TASHKENT INTERNATIONAL CLINIC,"Uzbekistan, 100167, Tashkent, Mirabad district, street SARIKUL, 38",+998 78 1201120
TRIONICA HAIR HEALTH CENTER TASHKENT,"Uzbekistan, 100000, Tashkent, Yunusabad district, street OSIYO, 86а",+998 99 8600806
USMONOV ABSALAM MEDICAL SERVICE PRIVATE ENTERPRISE,"Uzbekistan, Tashkent, Chilanzar district, street AL-KHOREZMY, 3/1",+998 94 6694462
VITILIGO CLINIC PRIVATE ENTERPRISE,"Uzbekistan, 100190, Tashkent, Yunusabad district, massif YUNUSABAD-6, street TIKLANISH, 1",+998 90 9212525
Voice Lor clinic,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street ABDULLA KADIRIY, 10А",+998 55 5170199
XUMO YANGI HAYOT MED MEDICAL CENTER,"Uzbekistan, 100000, Tashkent, Yangikhayot district, street SHOKIRARIK, 14 B",+998 33 9015060
YASSI-DONO PRIVATE CLINIC,"Uzbekistan, 100206, Tashkent, Yunusabad district, massif YUNUSABAD-14, 58/66",+998 71 2128748
YUNUSOBOD MEDICAL CENTER,"Uzbekistan, Tashkent, Yunusabad district, massif YUNUSABAD-16, street AKHMAD DONISH, 28 A",+998 99 3210303
Z HOSPITAL PRIVATE CLINIC BRANCH №1,"Uzbekistan, Tashkent, Almazar district, street SHIFOKORLAR, 28-29",+998 71 2143515
Z HOSPITAL PRIVATE CLINIC BRANCH №2,"Uzbekistan, Tashkent, Almazar district, street SHIFOKORLAR, 86",+998 71 2143515
Zaytun Med Tib,"Uzbekistan, 100000, Tashkent, Almazar district, street USTA OLIM, 21",+998 93 5874403
ZDOROVE VSEM MEDICAL CENTER,"Uzbekistan, 100000, Tashkent, Yakkasaray district, street TADBIRKOR, 76/1",+998 71 2027795
Центр диагностики Матери и ребёнка,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, massif FERUZA-2, 132Б",+998 99 1030808
